"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3711","updateNote","Capstone Suite","2026-05-27","passed","2026-05-27","tests.api.UpdateNoteTest","All Test Execution","tests.api.UpdateNoteTest","updateNote"
"","32299","invalidEmailFormatValidationTest","Capstone Suite","2026-05-27","passed","2026-05-27","tests.ui.InvalidEmailFormatTest","All Test Execution","tests.ui.InvalidEmailFormatTest","invalidEmailFormatValidationTest"
"","89537","fullUserFlow","Capstone Suite","2026-05-27","passed","2026-05-27","tests.ui.EndToEndUserJourneyTest","All Test Execution","tests.ui.EndToEndUserJourneyTest","fullUserFlow"
"","1339","createNoteWithoutTitle","Capstone Suite","2026-05-27","passed","2026-05-27","tests.api.NegativeApiTest","All Test Execution","tests.api.NegativeApiTest","createNoteWithoutTitle"
"","27395","registerAndLoginTest","Capstone Suite","2026-05-27","passed","2026-05-27","tests.ui.RegisterLoginTest","All Test Execution","tests.ui.RegisterLoginTest","registerAndLoginTest"
"","1286","Verify delete note with invalid ID","Capstone Suite","2026-05-27","passed","2026-05-27","tests.api.NegativeApiTest","All Test Execution","tests.api.NegativeApiTest","deleteInvalidNoteId"
"","3263","deleteNote","Capstone Suite","2026-05-27","passed","2026-05-27","tests.api.DeleteNoteTest","All Test Execution","tests.api.DeleteNoteTest","deleteNote"
"","38874","verifyCreateNote","Capstone Suite","2026-05-27","passed","2026-05-27","tests.ui.CreateNoteTest","All Test Execution","tests.ui.CreateNoteTest","verifyCreateNote"
"","73431","validateUiWithApi","Capstone Suite","2026-05-27","passed","2026-05-27","tests.e2e.UiApiValidationTest","All Test Execution","tests.e2e.UiApiValidationTest","validateUiWithApi"
"","2684","createNoteTest","Capstone Suite","2026-05-27","passed","2026-05-27","tests.api.CreateNoteTest","All Test Execution","tests.api.CreateNoteTest","createNoteTest"
"","37906","invalidLoginTest","Capstone Suite","2026-05-27","passed","2026-05-27","tests.ui.LoginNegativeTest","All Test Execution","tests.ui.LoginNegativeTest","invalidLoginTest"
"","485","getNotesWithInvalidToken","Capstone Suite","2026-05-27","passed","2026-05-27","tests.api.NegativeApiTest","All Test Execution","tests.api.NegativeApiTest","getNotesWithInvalidToken"
"","105006","validateUiWithApi","Capstone Suite","2026-05-27","passed","2026-05-27","tests.e2e.UiApiValidationTest","All Test Execution","tests.e2e.UiApiValidationTest","validateUiWithApi"
"","1180","verifyGetNotesResponseTime","Capstone Suite","2026-05-27","passed","2026-05-27","tests.api.ApiResponseTimeTest","All Test Execution","tests.api.ApiResponseTimeTest","verifyGetNotesResponseTime"
"","17691","validateGetNotes","Capstone Suite","2026-05-27","passed","2026-05-27","tests.api.GetNotesTest","All Test Execution","tests.api.GetNotesTest","validateGetNotes"
"","35230","emptyLoginValidationTest","Capstone Suite","2026-05-27","passed","2026-05-27","tests.ui.EmptyLoginTest","All Test Execution","tests.ui.EmptyLoginTest","emptyLoginValidationTest"
